Gender,Location,Age.Band,Age,Completion.Time,Part.A.Score,Part.B.Score,Part.C.Score
M,C,O,73,54,24,47,90
M,E,O,95,22,85,41,74
M,C,O,79,56,37,46,75
F,E,O,88,26,61,45,60
M,D,M,52,29,2,71,45
M,E,M,50,45,2,76,58
M,E,M,53,44,2,69,53
F,B,O,74,17,26,47,94
M,C,M,57,49,4,69,60
M,B,U,14,27,52,48,12
F,A,O,80,32,39,41,33
M,B,U,12,59,58,50,18
F,E,Y,22,59,32,70,53
M,C,Y,21,37,34,42,43
M,E,M,44,48,3,70,60
M,C,Y,20,37,37,59,43
F,B,Y,30,52,17,59,46
M,B,O,83,56,47,57,69
F,B,Y,23,57,30,46,44
F,E,M,60,40,6,71,35
M,D,O,82,41,44,59,94
F,C,M,45,45,3,72,86
M,E,Y,25,58,26,43,38
M,D,U,14,34,52,58,24
F,D,U,10,40,64,47,52
F,D,U,10,37,64,54,33
M,A,M,50,54,2,70,58
F,A,U,15,18,50,48,99
F,D,M,58,39,5,64,27
M,C,U,7,32,74,57,15
M,E,O,70,35,19,58,91
F,C,M,50,47,2,67,65
M,E,U,12,64,58,51,24
F,A,O,70,25,19,49,77
M,A,M,57,21,4,63,52
M,E,O,77,32,32,55,73
F,E,M,51,44,2,64,91
M,E,O,91,24,71,49,84
M,A,Y,31,43,16,45,40
F,E,Y,19,60,39,47,43
F,D,U,12,50,58,47,88
F,E,M,59,40,6,65,25
F,A,U,9,40,68,44,70
M,D,Y,18,27,42,57,38
F,D,Y,17,35,44,46,32
F,D,O,80,39,39,48,83
F,C,U,11,34,61,61,52
F,D,U,6,39,78,55,94
F,B,M,54,27,3,68,21
F,C,Y,33,41,13,57,95
M,B,O,92,25,74,46,91
M,B,Y,24,24,28,40,38
F,A,M,64,20,10,73,64
M,A,U,11,58,61,55,12
M,D,M,43,41,4,64,60
M,D,O,78,37,34,43,66
M,E,Y,29,56,19,38,42
F,D,M,50,49,2,73,92
F,C,O,73,54,24,54,91
F,C,O,87,59,58,53,24
F,D,U,7,35,74,50,95
F,D,Y,38,40,7,35,82
M,A,O,84,63,50,39,82
M,E,M,43,48,4,75,60
F,E,O,91,24,71,55,52
M,B,M,61,34,7,73,58
M,B,Y,20,46,37,59,39
M,C,Y,16,35,47,44,35
M,B,M,50,31,2,62,60
M,C,M,48,46,2,76,49
M,D,Y,20,43,37,53,39
M,B,Y,35,47,10,60,39
M,C,U,6,32,78,55,20
M,C,O,65,52,12,39,72
M,B,M,62,48,8,67,52
M,C,O,66,52,13,58,79
M,E,M,63,38,9,72,50
M,D,O,71,27,20,40,77
M,E,U,11,64,61,50,13
F,E,M,47,46,2,70,43
F,D,O,72,49,22,53,45
M,E,O,77,32,32,53,82
F,D,Y,16,45,47,42,43
M,A,M,54,38,3,81,49
M,C,M,58,49,5,66,48
M,D,O,71,46,20,57,87
F,B,Y,21,57,34,40,97
F,C,O,87,59,58,48,71
F,B,O,85,19,52,57,33
F,D,M,64,30,10,78,42
F,C,Y,36,42,9,49,41
M,E,Y,39,50,6,54,45
F,A,U,7,20,74,53,62
F,A,M,44,40,3,64,79
M,E,Y,26,57,24,51,38
F,B,Y,25,66,26,50,57
M,E,O,83,28,47,52,81
M,C,O,87,59,58,60,73
F,A,U,9,34,68,55,79
F,C,O,89,60,64,51,25
M,D,U,5,44,81,47,29
F,C,O,68,53,16,47,63
M,E,Y,21,60,34,51,36
F,C,O,65,52,12,56,95
F,B,O,83,18,47,54,28
M,C,M,40,43,6,66,47
M,D,O,75,40,28,54,67
F,E,U,13,64,55,54,82
F,D,M,60,32,6,70,87
F,E,M,50,45,2,67,76
M,C,Y,37,42,8,57,37
M,B,O,71,50,20,44,82
M,E,O,74,33,26,43,95
F,E,M,41,50,5,65,67
F,D,M,45,37,3,65,95
F,B,U,14,38,52,41,64
M,B,U,13,40,55,39,17
F,D,M,43,31,4,67,22
M,A,O,75,65,28,47,71
F,B,Y,31,52,16,49,91
M,E,O,92,24,74,39,74
M,D,O,90,44,68,44,80
F,D,Y,16,47,47,51,72
F,C,M,59,50,6,71,64
F,E,U,5,68,81,50,68
F,B,Y,28,58,20,50,81
F,B,U,7,21,74,55,48
F,A,M,44,49,3,64,34
F,B,U,15,51,50,57,89
M,E,M,54,43,3,69,48
F,B,Y,23,55,30,44,32
M,C,Y,18,36,42,34,40
M,E,O,82,29,44,52,84
F,A,Y,26,50,24,49,64
M,A,Y,21,34,34,59,44
F,E,O,89,26,64,57,60
F,C,M,43,44,4,69,64
F,A,M,56,64,4,71,29
F,E,M,47,46,2,76,73
F,A,M,54,69,3,73,71
F,C,M,42,44,4,70,34
F,D,M,44,36,3,70,44
F,D,O,90,42,68,57,72
M,E,Y,23,58,30,58,36
F,B,O,76,16,30,60,41
M,C,U,13,34,55,47,10
M,C,U,8,117,71,52,18
F,A,U,13,34,55,53,56
F,A,O,71,28,20,64,94
M,D,O,85,111,52,45,93
M,D,U,14,34,52,56,30
M,E,O,71,34,20,53,74
F,C,M,63,120,9,68,79
F,B,U,14,47,52,54,58
M,D,U,11,42,61,48,29
F,D,Y,36,40,9,44,92
M,B,Y,18,29,42,66,40
F,D,Y,31,42,16,48,71
M,E,Y,18,61,42,47,38
M,D,Y,37,31,8,42,40
M,C,M,54,48,3,71,52
F,D,Y,39,44,6,51,94
M,C,U,10,33,64,48,18
F,B,M,47,24,2,68,70
M,A,M,53,49,2,68,59
M,E,U,7,66,74,52,23
M,C,M,50,47,2,77,55
M,E,Y,27,56,22,48,44
M,C,U,15,35,50,34,16
F,B,U,8,30,71,50,54
M,B,M,53,26,2,70,59
F,C,M,46,45,2,77,59
F,A,U,5,57,81,52,93
F,B,Y,35,66,10,41,25
M,A,O,83,66,47,52,82
F,C,M,57,49,4,71,84
M,E,O,89,26,64,53,77
M,B,M,60,44,6,61,46
F,C,U,13,34,55,43,37
F,C,O,82,57,44,55,21
F,B,U,11,28,61,53,92
M,E,M,58,41,5,75,51
F,E,O,86,27,55,56,27
F,C,Y,20,37,37,53,59
F,C,M,47,46,2,71,60
F,D,M,55,32,3,69,43
M,E,M,62,39,8,67,51
F,A,O,76,58,30,50,82
M,A,U,8,67,71,62,26
F,C,O,84,58,50,46,53
F,B,M,61,26,7,77,76
M,B,O,75,47,28,43,75
F,E,Y,27,56,22,50,43
M,A,U,13,35,55,51,11
M,A,O,94,19,81,63,80
M,D,U,15,35,50,50,12
M,B,M,52,45,2,66,52
M,B,U,8,53,71,50,24
F,A,U,13,21,55,39,76
F,D,U,11,36,61,66,77
F,D,O,82,28,44,40,27
F,A,U,12,35,58,45,71
F,A,M,57,58,4,72,28
M,D,O,70,44,19,41,71
F,A,U,7,28,74,50,34
M,E,U,10,65,64,49,29
M,E,Y,30,55,17,38,42
M,C,Y,20,37,37,57,38
F,C,Y,38,43,7,50,83
F,E,M,47,46,2,66,70
M,A,U,7,22,74,48,27
F,C,O,80,57,39,64,75
F,D,M,51,48,2,72,95
F,C,Y,35,42,10,44,32
F,A,M,45,25,3,71,98
M,E,Y,37,52,8,61,39
M,C,Y,22,37,32,58,36
M,D,M,46,25,2,65,51
M,D,M,42,34,4,66,47
M,C,O,76,55,30,62,86
F,C,U,9,33,68,59,83
M,D,O,87,40,58,50,90
F,D,Y,20,33,37,59,99
F,B,O,79,16,37,34,47
F,B,U,11,41,61,35,52
M,B,U,12,45,58,55,24
M,E,Y,36,52,9,56,44
M,A,U,9,20,68,50,24
M,B,O,85,24,52,56,78
F,B,M,46,35,2,64,33
M,A,O,75,63,28,61,84
M,A,Y,22,49,32,42,43
M,D,U,10,45,64,57,22
F,B,M,53,43,2,71,97
F,C,O,91,60,71,42,40
M,C,M,57,49,4,68,57
F,B,Y,35,69,10,53,39
M,B,U,9,57,68,47,29
F,E,Y,28,56,20,42,47
F,C,M,59,50,6,70,52
M,D,U,14,46,52,30,11
F,A,Y,35,61,10,52,58
M,D,M,40,44,6,72,54
F,D,Y,22,46,32,56,21
M,C,M,58,49,5,69,54
M,D,Y,33,32,13,55,41
F,E,M,62,39,8,69,69
M,D,Y,25,26,26,53,37
M,C,U,11,34,61,55,19
M,E,O,70,35,19,38,68
M,B,Y,31,23,16,37,39
F,B,M,52,60,2,71,65
F,D,O,79,47,37,52,57
F,E,Y,32,54,14,56,55
M,A,Y,18,23,42,59,40
M,B,M,56,27,4,68,49
F,C,U,11,34,61,50,75
M,C,U,8,33,71,62,12
F,D,U,8,30,71,30,63
F,D,U,6,32,78,46,78
F,E,Y,34,53,12,38,75
F,D,Y,18,119,42,51,44
M,A,Y,36,29,9,54,38
M,E,U,15,62,50,44,17
F,A,U,7,54,74,58,87
F,B,O,66,12,13,56,70
M,C,O,75,55,28,45,80
F,E,M,59,40,6,71,83
M,C,O,77,56,32,41,81
M,B,U,8,26,71,45,22
F,B,M,60,58,6,70,39
M,E,O,94,23,81,43,91
M,E,U,5,112,81,51,22
M,D,M,64,33,10,71,46
F,E,O,87,26,58,45,22
F,D,U,7,31,74,57,33
F,C,M,47,46,2,64,59
F,D,U,6,46,78,51,78
F,A,U,10,68,64,46,41
F,B,M,46,21,2,68,79
F,B,Y,30,69,17,41,69
M,A,U,11,41,61,48,28
F,B,Y,31,54,16,42,59
M,E,O,93,24,78,53,68
F,D,U,7,47,74,46,31
F,C,Y,33,41,13,60,25
F,C,Y,25,38,26,40,54
M,A,O,76,50,30,63,86
M,B,O,74,26,26,52,73
F,D,M,45,38,3,75,91
M,E,U,6,116,78,60,25
F,D,Y,37,26,8,56,70
M,A,O,91,46,71,57,71
F,C,Y,20,37,37,59,48
F,D,Y,21,37,34,43,79
F,D,Y,27,45,22,40,98
F,E,U,12,64,58,52,89
M,B,M,60,31,6,64,48
F,C,U,7,32,74,56,71
F,C,M,52,47,2,65,33
F,B,U,14,52,52,41,41
F,D,U,11,47,61,50,53
F,D,O,88,34,61,49,51
F,D,Y,33,46,13,52,49
F,E,Y,29,56,19,42,25
F,A,M,60,50,6,66,47
F,C,Y,39,43,6,65,81
M,A,U,8,34,71,48,27
M,B,U,11,49,61,48,23
M,E,M,47,46,2,70,48
M,A,U,11,23,61,61,14
F,B,M,63,31,9,70,72
M,D,U,12,41,58,51,13
F,A,M,52,67,2,71,33
F,C,M,62,51,8,71,95
F,D,M,47,44,2,63,39
M,B,O,77,22,32,50,80
F,C,Y,36,42,9,55,65
F,C,Y,22,37,32,42,68
F,B,Y,29,51,19,50,70
M,D,U,11,28,61,57,13
M,C,U,14,35,52,46,27
M,B,Y,34,29,12,63,39
M,E,M,54,43,3,75,54
M,E,O,90,25,68,54,79
M,B,Y,16,28,47,46,36
M,C,O,71,54,20,55,70
F,B,U,15,42,50,51,56
F,E,U,9,66,68,53,55
F,D,Y,21,49,34,54,39
F,A,M,50,61,2,67,39
F,A,O,94,46,81,48,76
M,C,M,52,47,2,75,48
F,B,Y,22,54,32,57,36
F,C,U,10,33,64,55,28
M,C,O,79,56,37,44,69
F,A,U,8,40,71,58,76
F,C,M,54,48,3,76,83
F,A,M,60,19,6,69,82
F,A,U,6,39,78,53,29
F,E,U,10,65,64,47,86
F,B,Y,22,64,32,55,96
F,B,Y,19,69,39,51,30
F,D,M,48,42,2,63,38
M,D,Y,31,37,16,54,44
F,B,Y,32,68,14,54,67
F,A,Y,32,36,14,45,29
M,C,O,79,56,37,48,78
F,E,Y,28,56,20,69,70
M,C,O,67,52,14,39,94
F,A,M,61,61,7,71,79
M,D,O,80,39,39,61,71
M,D,U,7,45,74,59,24
F,C,U,11,34,61,67,97
M,B,O,71,57,20,50,95
F,C,U,10,33,64,49,24
M,C,U,7,32,74,46,12
M,C,U,15,35,50,44,27
M,C,Y,28,39,20,48,40
M,A,U,8,17,71,53,28
M,A,M,47,67,2,70,55
M,C,O,81,57,42,46,90
F,A,U,13,22,55,51,84
M,A,M,46,53,2,67,47
F,E,M,56,42,4,64,84
F,A,O,75,25,28,49,31
M,A,O,69,38,17,50,87
M,B,O,86,51,55,57,89
M,B,Y,17,50,44,49,38
F,E,U,5,68,81,54,35
M,E,Y,18,61,42,56,38
M,D,O,88,40,61,51,85
F,D,Y,37,36,8,42,98
F,E,Y,16,62,47,38,26
F,E,Y,29,56,19,45,83
M,E,O,72,34,22,45,69
M,E,U,13,64,55,44,23
M,A,Y,27,37,22,49,36
F,B,M,60,45,6,76,45
M,C,U,9,33,68,55,21
F,E,Y,27,56,22,63,92
M,D,M,58,41,5,69,46
M,D,O,75,37,28,57,68
M,D,U,14,48,52,50,19
F,C,M,42,44,4,67,86
F,C,Y,20,37,37,44,26
M,B,M,46,37,2,69,45
M,E,Y,18,61,42,57,40
F,B,M,56,116,4,76,39
M,B,Y,27,23,22,53,39
M,D,M,56,38,4,69,50
M,C,Y,30,40,17,33,36
F,A,O,88,34,61,46,24
F,C,Y,32,41,14,62,90
F,A,U,8,70,71,52,94
M,D,M,63,27,9,71,48
M,A,U,11,47,61,54,23
F,E,O,76,32,30,54,34
F,E,M,50,45,2,67,45
M,A,Y,25,25,26,45,37
M,E,U,7,66,74,53,24
F,C,M,44,45,3,69,37
F,B,Y,34,51,12,30,21
M,E,U,11,64,61,42,14
F,B,U,14,23,52,44,83
M,C,O,90,60,68,49,82
F,E,M,50,45,2,69,63
F,C,O,91,60,71,51,53
F,B,Y,30,118,17,50,86
F,A,O,86,59,55,42,86
M,C,O,72,54,22,49,69
F,E,Y,24,58,28,44,73
M,B,M,58,27,5,73,46
M,B,Y,23,29,30,61,43
M,A,M,54,65,3,72,49
F,D,M,55,26,3,72,96
F,E,O,75,32,28,42,60
M,B,O,66,54,13,55,83
F,E,U,12,64,58,55,75
M,C,O,81,57,42,58,67
M,A,M,48,24,2,64,48
M,B,O,75,26,28,56,78
F,B,O,87,15,58,37,98
F,E,M,48,46,2,70,97
F,C,U,5,32,81,57,78
F,D,Y,18,40,42,50,78
M,D,M,54,43,3,74,47
M,B,Y,17,58,44,35,41
F,A,U,15,46,50,42,85
F,C,Y,18,36,42,46,36
M,D,O,86,39,55,49,71
F,B,O,88,19,61,41,81
F,E,Y,25,58,26,64,44
M,D,M,63,45,9,69,57
F,B,M,43,43,4,74,92
M,A,O,87,65,58,50,93
M,D,O,82,29,44,62,82
F,A,U,8,45,71,52,32
M,A,O,68,22,16,51,81
M,D,M,60,49,6,67,55
M,B,U,9,40,68,48,20
F,C,O,77,56,32,30,68
M,D,U,8,49,71,45,12
M,D,M,58,35,5,75,50
M,D,U,12,41,58,49,12
M,C,U,10,33,64,62,21
F,A,U,14,17,52,54,33
M,E,M,57,42,4,71,46
M,C,M,55,48,3,70,50
M,B,U,10,40,64,53,22
M,A,M,55,16,3,70,53
M,C,U,11,34,61,51,10
F,D,M,60,49,6,68,91
M,A,Y,33,16,13,39,35
M,E,Y,38,51,7,55,36
M,A,M,57,18,4,78,58
F,E,Y,30,55,17,60,73
M,E,M,56,42,4,70,50
F,A,U,8,57,71,52,36
F,C,Y,20,37,37,43,93
F,B,Y,18,59,42,56,29
M,C,O,92,61,74,51,81
M,E,Y,21,60,34,46,44
F,E,M,51,44,2,70,79
F,E,Y,30,55,17,54,87
M,A,Y,19,59,39,49,44
M,C,U,8,33,71,40,10
F,A,M,54,31,3,73,98
M,D,O,85,32,52,43,78
F,C,O,70,53,19,58,52
F,E,U,6,67,78,49,51
F,A,M,52,52,2,67,89
M,A,O,84,40,50,51,87
M,E,M,47,46,2,76,59
M,D,U,14,26,52,60,16
F,D,O,66,34,13,41,34
F,D,U,11,40,61,56,99
M,E,U,13,64,55,58,12
M,E,U,13,64,55,53,17
F,E,O,95,22,85,54,61
M,C,O,91,60,71,57,79
F,C,Y,36,42,9,51,90
M,D,O,86,26,55,43,69
M,A,U,14,66,52,51,18
M,C,U,11,34,61,48,22
F,E,U,15,62,50,55,22
F,B,M,42,33,4,64,50
M,C,O,74,55,26,47,81
M,B,O,73,59,24,57,68
M,B,Y,30,43,17,44,39
F,C,Y,36,42,9,52,64
F,B,U,14,25,52,59,52
M,E,O,73,34,24,43,71
F,B,M,54,32,3,67,20
M,A,O,79,33,37,43,72
F,C,U,15,35,50,40,62
F,B,U,15,41,50,60,34
M,B,U,8,30,71,53,28
M,C,U,8,33,71,48,25
M,A,O,91,65,71,45,87
M,A,U,6,19,78,46,23
F,D,O,74,34,26,47,42
M,A,U,13,33,55,47,29
M,C,U,13,34,55,47,28
F,C,M,46,45,2,74,88
F,D,M,52,32,2,70,97
M,D,Y,29,37,19,59,43
F,D,Y,16,44,47,52,70
F,C,M,44,45,3,71,70
M,E,Y,21,60,34,59,41
M,A,Y,35,29,10,56,41
F,C,M,44,45,3,68,33
M,E,Y,36,52,9,55,44
M,D,M,59,32,6,71,56
M,B,Y,35,60,10,41,45
M,A,M,43,32,4,67,58
F,A,Y,31,46,16,55,62
M,B,M,54,53,3,78,47
F,C,U,9,33,68,40,38
F,A,M,44,67,3,68,25
F,A,M,51,64,2,69,32
F,C,Y,24,38,28,52,95
M,B,M,64,59,10,65,58
F,C,U,13,34,55,64,72
F,C,Y,33,41,13,46,35
M,A,M,54,44,3,67,50
F,C,M,62,51,8,70,79
M,C,Y,24,38,28,49,38
F,C,O,89,114,64,40,78
F,A,Y,20,69,37,52,84
M,E,U,13,64,55,52,18
M,B,U,11,32,61,53,20
M,E,U,15,62,50,56,27
F,A,Y,37,23,8,51,30
F,A,U,8,59,71,48,99
F,D,U,7,28,74,52,83
F,A,O,77,29,32,44,67
M,C,M,40,43,6,70,54
M,D,U,7,29,74,57,13
M,C,M,44,45,3,75,48
M,A,Y,20,66,37,65,39
F,E,O,92,24,74,51,26
M,A,O,86,43,55,55,93
F,E,U,5,68,81,53,55
M,E,Y,38,51,7,61,37
F,D,U,15,43,50,47,89
M,E,Y,23,58,30,58,38
M,E,O,74,33,26,42,79
M,A,Y,33,65,13,54,40
F,C,Y,16,35,47,48,25
F,D,M,59,37,6,66,25
M,A,O,69,70,17,51,85
F,D,Y,27,40,22,51,32
F,B,M,50,46,2,65,21
F,C,M,51,47,2,67,29
F,C,M,57,49,4,72,90
F,D,M,57,47,4,67,97
M,A,U,6,34,78,50,17
M,B,U,15,45,50,38,11
F,D,O,90,26,68,55,65
M,D,M,62,35,8,73,46
M,B,Y,36,30,9,60,41
F,B,O,88,18,61,47,46
M,E,Y,17,62,44,57,44
F,B,M,60,26,6,72,88
M,A,Y,27,21,22,67,43
M,E,M,46,47,2,75,55
M,D,Y,24,42,28,51,38
M,B,M,45,28,3,67,56
M,B,Y,29,30,19,59,37
M,E,U,10,65,64,46,22
F,C,Y,37,42,8,62,42
F,E,Y,37,52,8,61,64
F,E,O,84,28,50,57,65
F,E,U,6,67,78,45,31
M,A,M,58,34,5,69,49
F,D,U,14,34,52,55,21
F,E,M,64,38,10,66,83
M,D,Y,20,29,37,48,44
F,B,U,14,28,52,49,74
F,B,U,8,46,71,50,60
M,E,M,61,40,7,69,46
F,E,Y,30,55,17,43,50
F,A,O,88,67,61,55,73
F,A,Y,25,32,26,66,77
M,B,O,82,25,44,58,73
M,E,Y,37,52,8,40,39
F,E,O,74,33,26,61,74
M,A,U,11,62,61,50,12
F,D,U,8,29,71,47,43
F,C,O,88,59,61,44,70
F,D,O,71,46,20,55,27
M,B,Y,20,21,37,46,41
F,B,O,73,18,24,49,85
M,E,U,5,68,81,46,23
M,E,U,7,66,74,57,20
F,D,M,42,36,4,65,80
F,E,U,15,62,50,56,40
F,B,Y,28,56,20,57,43
M,D,M,49,36,2,73,52
F,D,U,10,31,64,53,41
M,E,Y,20,60,37,54,43
M,B,U,7,25,74,45,19
M,A,Y,33,69,13,38,42
F,E,U,8,66,71,49,56
F,E,Y,17,62,44,54,28
M,D,O,92,38,74,53,90
M,D,U,12,31,58,50,25
M,C,Y,16,35,47,60,37
M,C,Y,29,40,19,49,36
F,D,M,54,36,3,65,82
M,D,O,69,31,17,53,71
M,A,M,45,32,3,65,45
M,B,U,10,45,64,54,19
M,D,U,11,29,61,40,13
F,D,U,9,35,68,51,78
M,B,Y,25,52,26,54,43
M,C,O,66,52,13,51,89
F,D,O,90,40,68,56,29
F,A,U,10,60,64,51,25
M,B,M,49,50,2,74,59
M,A,M,50,68,2,72,58
F,B,U,10,43,64,41,21
M,D,O,94,117,81,42,69
F,C,O,78,56,34,44,55
M,D,Y,25,49,26,61,39
M,C,U,10,33,64,55,12
M,B,Y,22,33,32,65,37
M,D,Y,39,49,6,61,45
M,A,M,56,19,4,70,56
M,B,Y,27,37,22,50,36
M,A,O,81,119,42,41,79
M,B,U,9,55,68,56,14
M,D,U,6,34,78,57,19
F,C,Y,30,40,17,53,95
M,E,Y,34,53,12,51,36
F,A,U,11,22,61,45,25
F,B,Y,29,58,19,53,82
F,C,U,11,34,61,59,30
F,E,Y,18,61,42,43,88
F,C,O,71,54,20,40,58
F,B,U,7,39,74,51,80
M,B,M,52,39,2,72,46
M,D,O,83,26,47,51,77
M,B,U,12,36,58,50,17
F,D,U,13,42,55,55,64
M,B,U,7,21,74,38,12
M,D,M,49,41,2,67,45
M,B,M,56,59,4,74,53
F,D,U,8,32,71,54,72
F,A,O,95,49,85,41,54
M,D,U,14,48,52,56,18
F,A,U,8,28,71,41,50
M,A,M,56,58,4,68,52
F,C,U,10,33,64,43,40
M,E,O,72,34,22,52,77
M,C,O,93,61,78,56,77
M,C,M,62,51,8,70,55
M,B,M,57,114,4,73,59
F,D,U,10,40,64,53,68
F,C,M,61,50,7,72,84
M,D,Y,21,44,34,56,43
F,D,O,73,39,24,44,54
F,C,O,73,54,24,61,63
M,B,O,90,56,68,54,70
M,B,O,75,27,28,51,91
F,D,M,63,31,9,67,74
M,E,U,13,64,55,52,17
M,B,O,90,39,68,42,75
M,E,O,88,26,61,42,83
F,B,O,76,10,30,59,87
M,B,U,11,41,61,62,25
F,E,M,55,42,3,70,79
F,D,U,11,32,61,47,24
F,E,U,14,63,52,48,30
M,B,Y,20,44,37,49,38
M,D,Y,18,29,42,64,37
F,D,Y,27,25,22,52,60
F,B,M,48,35,2,72,89
F,C,O,91,60,71,46,38
M,E,Y,29,56,19,52,37
M,A,M,60,19,6,70,59
F,E,Y,26,57,24,48,40
F,B,O,79,10,37,49,88
F,D,O,69,40,17,35,67
M,E,U,13,64,55,52,21
F,C,O,89,60,64,51,52
M,E,O,74,33,26,52,80
F,B,O,93,11,78,54,26
F,E,U,9,66,68,55,78
M,E,M,41,50,5,72,52
F,A,U,7,40,74,54,86
M,D,O,88,41,61,49,72
F,A,O,67,47,14,50,48
M,E,U,8,66,71,51,10
F,D,M,42,40,4,70,40
F,E,O,78,31,34,47,48
M,D,M,44,38,3,71,47
M,C,Y,38,43,7,45,39
F,E,O,95,22,85,50,92
M,E,M,50,45,2,69,56
F,D,U,13,47,55,61,26
M,A,M,57,24,4,71,59
M,E,M,59,40,6,71,50
F,C,U,14,35,52,59,99
M,E,O,75,32,28,58,88
M,C,M,42,44,4,69,53
F,C,Y,19,111,39,40,69
F,B,O,78,11,34,57,51
M,D,O,84,48,50,49,94
M,E,Y,17,62,44,62,42
M,D,O,86,38,55,48,95
M,C,O,69,53,17,55,71
M,E,Y,26,57,24,50,39
M,B,Y,17,44,44,65,38
M,E,O,84,28,50,50,67
M,C,U,8,33,71,53,14
M,B,O,92,47,74,37,70
M,B,M,60,23,6,70,53
F,A,U,9,46,68,42,30
F,C,M,42,44,4,68,56
M,D,M,56,46,4,72,59
F,B,O,92,11,74,45,33
F,C,U,9,33,68,55,85
F,B,M,46,21,2,73,29
F,A,Y,34,67,12,59,41
F,E,O,89,26,64,49,51
F,A,U,7,42,74,62,70
F,C,O,95,62,85,45,95
F,E,O,70,35,19,50,81
M,B,U,7,24,74,49,13
M,B,U,13,33,55,58,15
M,E,O,73,34,24,46,66
M,E,U,13,64,55,44,18
F,C,U,8,33,71,50,30
F,E,U,11,64,61,51,89
M,C,O,94,61,81,56,74
F,E,M,49,46,2,57,86
M,C,O,77,56,32,43,80
M,B,Y,16,59,47,44,42
F,B,U,8,40,71,53,63
F,A,O,75,57,28,55,64
F,E,U,13,64,55,55,27
F,C,M,42,44,4,66,57
F,A,O,93,36,78,47,54
F,A,O,87,39,58,48,76
M,D,O,91,43,71,56,80
F,B,M,57,53,4,72,84
F,E,O,72,34,22,47,47
F,D,Y,29,41,19,52,53
M,C,U,6,32,78,62,24
F,A,Y,18,25,42,52,61
M,A,U,14,40,52,57,11
F,E,U,6,67,78,48,71
M,E,M,48,46,2,69,50
F,D,Y,23,34,30,61,27
F,E,O,90,25,68,59,52
M,C,Y,30,40,17,45,41
M,C,M,53,116,2,71,52
M,B,M,49,44,2,70,57
M,D,U,15,48,50,53,19
F,E,Y,30,55,17,43,76
M,B,U,14,53,52,69,11
M,D,M,46,30,2,66,52
F,C,Y,30,40,17,42,64
M,D,M,43,39,4,68,56
